type,id,lon,lat
o,130,-71.05147356123538,42.335387044466394
o,131,-71.15879127117645,42.344166970672866
o,132,-71.08412290678999,42.501239843160995
o,133,-71.16004852614519,42.38070672248516
o,134,-71.04786545850064,42.42027843314288
o,135,-71.14618335923728,42.485058610440696
o,136,-71.43095438490089,42.37694645817954
o,137,-71.02168161104655,42.24673414024078
o,138,-71.07742275533097,42.19201410004011
o,139,-71.24143031022909,42.083887985013156
o,140,-71.07736334272154,42.33880078665873
o,141,-71.04896425156036,42.33925287990621
o,142,-71.07719016615461,42.36781569046991
o,143,-71.12377228667202,42.298543979679245
o,144,-71.0886461999213,42.34198335370768
o,145,-71.10340291496013,42.34627396439768
o,146,-71.068577509688,42.360274808593466
o,147,-71.1265280851775,42.2778635992704
o,148,-71.08574704403081,42.284797571116464
o,149,-71.01419850407802,42.251049123004336
o,150,-71.34958649557805,42.11364519816879
o,151,-71.05246662144067,42.1947362701704
o,152,-71.03539696692803,42.18334428119862
o,153,-71.12814233226219,42.34250855422385
o,154,-70.67485841089979,42.08432843034613
o,155,-70.91350043296512,42.14882989533879
o,156,-71.05595573466726,42.35244310136714
o,157,-71.20780649935455,42.491919016181434
o,158,-71.14887942024843,42.39189137695746
o,159,-71.40429038278529,42.49796627156643
o,160,-71.11245561542157,42.32703430312719
o,161,-71.12203919872088,42.404622895805645
o,162,-71.14418598738814,42.4082619260605
o,163,-70.86931574365316,42.552948079813376
o,164,-70.88836298428585,42.51877978743025
o,165,-71.4085810676222,42.26706627641899
o,166,-71.57444483927985,42.378215168909364
o,167,-71.38799170666114,42.29133965526026
o,168,-71.60728110691352,42.43616115965993
o,169,-71.10637830087192,42.39519956089872
o,170,-71.44179113983449,42.49901095690334
o,171,-70.6559879935568,42.09418869633254
o,172,-71.43219896976389,42.24657605883597
o,173,-70.88132768022882,42.54885371292623
o,174,-71.10596023418573,42.32884145732309
o,175,-71.07362063411676,42.34115327058579
o,176,-70.90414252562441,42.53309006205993
o,177,-71.05683944729431,42.37686117328561
o,178,-71.02795221416967,42.33477467336432
o,179,-71.16722525516313,42.346578936487575
o,180,-71.0383969731418,42.468122587648566
o,181,-71.11936637912237,42.34395030761989
o,182,-71.1019012680515,42.3126346494811
o,183,-71.04190763558117,42.31663082628407
o,184,-71.02760654408733,42.27913251689328
o,185,-71.27942517350434,42.31830704734596
o,186,-70.9482985586245,42.23932553818472
o,187,-70.91330157435945,42.126253169789464
o,188,-71.11169263229344,42.36447808252882
o,189,-71.02193978412768,42.40827022511078
o,190,-71.00421262938399,42.480631125178824
o,191,-71.16622560159222,42.401228280023574
o,192,-70.93186473141161,42.47116346405115
o,193,-71.03823735329102,42.41862750375281
o,194,-71.00538020492863,42.5395402895662
o,195,-71.0307787724794,42.265921550024245
o,196,-71.06398554987638,42.411996968631676
o,197,-71.0989741839298,42.39237622456774
o,198,-70.98059549967671,42.57732938862738
o,199,-71.47161460804735,42.52437227081539
o,200,-71.14602681512135,42.34008295647214
o,201,-71.29033393288117,42.46083919823064
o,202,-71.04612662938506,42.34413535422882
o,203,-70.89828269357928,42.54958717727254
o,204,-71.03267705143408,42.332578303507226
o,205,-71.06696355277965,42.33978055029459
o,206,-71.18620611087677,42.38322191954183
o,207,-71.12099695544825,42.32744584423896
o,208,-71.20445166876523,42.369039309634836
o,209,-71.14388274445614,42.35907915351719
o,210,-71.10474820861538,42.38166123927706
o,211,-70.9345146631741,42.46329647738784
o,212,-71.09356644735016,42.3734700610323
o,213,-71.0880627341139,42.34507760762482
o,214,-71.11714727076821,42.304324064606675
o,215,-71.08604410278194,42.3226891707046
o,216,-71.1366810285421,42.2749300816906
o,217,-71.04442472905114,42.152932831304945
o,218,-71.39454294037222,42.03176075084605
o,219,-70.97420993472454,42.434790785373814
o,220,-70.86215743091076,42.50639897082957
o,221,-71.03061544160745,42.4339086563176
o,222,-71.12517907647263,42.37512595715905
o,223,-71.1225619734246,42.40004013078623
o,224,-71.07894903432599,42.43679943251213
o,225,-71.06248980340773,42.21581145481697
o,226,-70.67460039115404,42.11222879659012
o,227,-71.07704501587399,42.404671017606454
o,228,-71.1114953754511,42.39180360782745
o,229,-71.09501778281663,42.34630280894695
o,230,-71.07466676957816,42.273786322938925
o,231,-70.9739026596731,42.45888440431465
o,232,-70.99799330001352,42.45168236194252
o,233,-71.12255182175598,42.286450800936294
o,234,-71.08256140361331,42.335673334417415
o,235,-70.99744873484661,42.40669541563051
o,236,-71.10179898777888,42.33940545357868
o,237,-71.07930121329947,42.34765754685771
o,238,-71.05367483784602,42.36366499097962
o,239,-71.0859757970113,42.274177842487845
o,240,-71.10538402314654,42.28792099356581
o,241,-71.14051946267905,42.29595927884736
o,242,-71.11091850623684,42.32435990910848
o,243,-71.12992625785681,42.23711718394586
o,244,-71.02015336196713,42.39619157487441
o,245,-71.03577195329488,42.37756958620313
