tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""25023542102""","""Boston-Cambridge-Newton, MA-NH""",1,2459,952,7362.53,52,62,70,31,39,43,21,23,27,10.08,1.3,2.12,2,2,24802,21893,24372,1,1,1,15658,14140,14500,12099,11002,11006,3549,3133,3486,9,5,8,7,4,6,1.9,4.1,0.77,0.13,5405,72,5939,85,77,17,2373,1943,2083,906,88,12
"""25023542200""","""Boston-Cambridge-Newton, MA-NH""",3,6424,2424,12230.87,52,62,70,31,38,43,21,24,27,10.53,2.66,2.16,2,2,25279,22243,24804,0,0,0,15933,14451,14753,12313,11268,11204,3618,3183,3548,3,0,1,2,0,1,1.1,4.3,2.46,0.2,7211,80,8341,86,93,22,2229,1919,1943,286,92,8
"""25023542300""","""Boston-Cambridge-Newton, MA-NH""",6,7257,2701,2513.54,42,50,56,24,30,34,18,20,23,8.88,12.84,1.79,2,2,21500,18831,20990,3,2,3,13323,11923,12174,10228,9214,9153,3077,2695,3003,19,14,19,14,10,14,6.5,4.5,2.63,1.07,8465,36,10048,87,16,101,1131,1512,1906,1099,52,48
"""25023543100""","""Boston-Cambridge-Newton, MA-NH""",2,2868,1028,9391.34,53,64,72,31,39,43,22,25,28,11.44,1.35,2.22,2,2,26050,23143,25563,0,0,0,16374,14944,15161,12646,11632,11504,3728,3312,3657,0,0,0,0,0,0,0.7,4.4,0.18,0.11,5785,92,6376,85,118,12,2471,1948,2086,1054,89,11
"""25023544100""","""Boston-Cambridge-Newton, MA-NH""",4,5728,1969,6749.89,51,61,69,29,37,41,21,24,28,11.79,4.24,2.18,2,2,25946,23032,25452,0,0,0,16174,14697,14966,12461,11401,11325,3713,3296,3641,0,0,0,0,0,0,1.1,3.1,0.71,0.29,5836,94,5988,86,55,39,1851,1840,1603,609,91,9
"""25023544200""","""Boston-Cambridge-Newton, MA-NH""",4,5834,2454,17192.74,48,58,65,28,34,39,20,23,26,9.64,1.63,2.07,2,2,24579,21357,24136,1,0,0,15357,13896,14200,11836,10840,10746,3517,3056,3453,4,0,1,3,0,1,3,2.8,1.11,0.14,5102,51,5069,85,45,38,1617,1733,1781,604,90,10
"""25023545100""","""Boston-Cambridge-Newton, MA-NH""",4,7187,2776,7016.28,47,56,63,26,33,37,20,23,26,10.27,5.29,2.08,2,2,24487,21577,24009,1,0,0,15373,13851,14195,11865,10763,10757,3504,3088,3434,4,1,4,3,1,3,2.6,2.6,1.16,0.4,5359,74,5853,86,25,61,1471,1656,1714,407,86,14
"""25023545200""","""Boston-Cambridge-Newton, MA-NH""",4,5481,2106,10245.33,46,56,63,26,32,36,20,23,26,10.1,3.97,2.09,2,2,24397,21611,23918,1,0,1,15414,13899,14222,11917,10805,10797,3491,3093,3422,5,1,4,4,1,3,3.6,2.3,1.48,0.21,4769,79,4679,85,20,50,1454,1632,1706,1016,83,17
"""25023545300""","""Boston-Cambridge-Newton, MA-NH""",4,3871,1833,1731.29,45,54,61,26,32,36,19,22,25,7.03,10.13,1.99,2,2,23263,20563,22764,1,0,1,14697,13188,13510,11362,10244,10248,3329,2943,3256,6,2,6,4,1,4,4.7,2.7,3.42,1.06,5200,77,4550,85,7,202,819,1624,1713,329,81,19
"""25023545400""","""Boston-Cambridge-Newton, MA-NH""",5,5821,2410,3959.81,46,55,61,26,33,37,19,22,25,7.21,6.49,1.96,2,2,23161,20655,22630,1,1,1,14519,13083,13311,11197,10123,10067,3315,2956,3237,7,4,7,5,3,5,3.6,2.9,1.21,0.61,5965,74,5928,86,13,98,1785,1649,1883,599,62,38
"""25023560100""","""Boston-Cambridge-Newton, MA-NH""",6,6176,2299,11107.89,52,63,71,32,39,44,21,23,27,10.74,3.81,2.1,2,2,25275,22515,24790,0,0,0,15587,14144,14378,11969,10922,10832,3617,3222,3546,1,0,0,1,0,0,1.7,4,0.74,0.21,4067,86,4347,84,37,41,1505,1979,2167,824,81,19
"""25023561100""","""Boston-Cambridge-Newton, MA-NH""",5,4979,1851,8958.48,53,64,72,33,41,46,20,23,26,10.08,3.5,2.07,2,2,25090,22435,24587,0,0,0,15380,13962,14164,11790,10752,10647,3590,3211,3517,0,0,0,0,0,0,2.8,4.1,0.62,0.21,4212,87,4674,84,32,41,1867,2074,2355,780,75,25
"""25023561200""","""Boston-Cambridge-Newton, MA-NH""",1,2865,195,265.69,44,52,59,26,33,37,17,19,22,7.28,5.34,1.74,2,2,21054,18845,20542,3,3,3,12970,11529,11834,9933,8808,8871,3013,2697,2939,24,24,24,18,18,17,7.4,6.1,3.13,0.73,11504,43,13507,87,12,149,802,1663,2548,1007,43,57
"""25025000100""","""Boston-Cambridge-Newton, MA-NH""",4,3671,1502,443.56,44,53,59,31,39,43,13,14,16,4.59,31.39,1.25,1,1,11253,9501,10841,27,26,28,9559,8432,8649,7108,6259,6242,1607,1357,1547,843,816,859,569,550,579,9.4,9.4,10.48,3.39,80495,11,153265,93,5,367,804,1939,768,1172,25,75
"""25025000201""","""Boston-Cambridge-Newton, MA-NH""",4,3284,1341,148.07,44,54,60,31,39,43,14,15,17,5.55,55.25,1.35,1,1,12755,10833,12353,24,23,25,10270,9051,9305,7693,6774,6777,1821,1547,1763,755,730,765,509,492,516,9.1,9.2,12.5,9.06,67114,20,105046,92,5,467,697,1936,1817,1767,33,67
"""25025000202""","""Boston-Cambridge-Newton, MA-NH""",4,3587,1340,148.67,42,50,57,28,36,40,13,15,17,3.81,35.96,1.3,1,1,11860,10025,11458,27,26,27,9972,8803,9029,7445,6567,6551,1694,1432,1636,834,804,842,562,542,568,9.2,9.3,11.13,9.01,73141,19,116112,92,8,413,703,1790,1953,1646,29,71
"""25025000301""","""Boston-Cambridge-Newton, MA-NH""",4,2712,1094,141.43,44,52,59,30,37,41,14,15,18,5.48,46.55,1.4,1,1,13671,11628,13300,21,20,22,10610,9316,9666,7998,7022,7092,1952,1660,1898,660,634,675,445,427,455,8.8,9.1,10.15,7.74,62388,17,95763,92,5,412,756,1860,1961,1792,42,58
"""25025000302""","""Boston-Cambridge-Newton, MA-NH""",2,2880,1204,145.76,46,55,63,32,40,44,14,16,18,5.67,47.45,1.39,1,1,13964,11777,13618,26,25,26,10754,9474,9829,7960,7029,7078,1994,1682,1944,800,763,807,540,514,544,8.6,9.2,10.42,8.26,62877,23,93564,92,7,356,813,1989,2196,1753,54,46
"""25025000401""","""Boston-Cambridge-Newton, MA-NH""",4,5265,2533,106.51,30,35,40,18,23,26,11,12,14,3.37,98.8,1.03,1,1,9667,7857,9250,41,39,41,8509,7478,7594,5862,5143,4999,1381,1122,1320,1267,1212,1275,854,817,859,9.6,9.4,32.6,23.78,76791,3,117286,92,5,535,593,1152,2158,1033,13,87
"""25025000402""","""Boston-Cambridge-Newton, MA-NH""",3,3176,1363,199.36,43,52,58,30,38,42,13,14,16,4.25,35.51,1.21,1,1,11667,9680,11292,35,34,35,9671,8569,8747,6901,6128,6031,1666,1382,1612,1103,1059,1104,744,714,744,9.3,9.3,14.19,6.84,69395,10,103486,92,6,424,659,1887,2267,1731,33,67
"""25025000502""","""Boston-Cambridge-Newton, MA-NH""",4,6350,1723,213.45,39,47,53,27,34,38,12,13,15,3.26,68.1,1.05,1,1,10429,8635,10022,41,39,41,8737,7696,7833,5984,5253,5121,1489,1233,1431,1263,1210,1281,852,816,864,9,9.4,23.46,8.07,67336,2,98445,92,3,507,504,1724,1839,1509,17,83
"""25025000503""","""Boston-Cambridge-Newton, MA-NH""",2,2096,1230,34.43,38,45,51,27,33,37,11,12,14,3.35,122.77,1,1,1,9978,8303,9556,40,38,41,8402,7341,7535,5727,4958,4883,1425,1186,1364,1250,1197,1288,843,807,868,9.7,9.4,84.38,35.72,73129,1,108785,92,2,800,407,1669,1459,1699,16,84
"""25025000504""","""Boston-Cambridge-Newton, MA-NH""",4,4149,2376,82.33,34,40,45,23,28,32,11,12,14,2.89,84.55,0.98,1,1,9470,7760,9032,41,39,42,8234,7223,7338,5617,4898,4757,1352,1108,1289,1265,1217,1292,853,821,871,9.8,9.5,49.84,28.86,80084,2,125791,92,2,933,401,1423,1348,1400,11,89
"""25025000601""","""Boston-Cambridge-Newton, MA-NH""",4,3294,1282,122.38,41,49,55,28,35,40,12,14,16,4.64,58.01,1.17,1,1,11327,9559,10924,32,31,33,9317,8180,8407,6689,5835,5824,1618,1365,1559,1010,979,1023,681,660,690,9.4,9.4,18.88,10.48,77708,11,124934,92,2,701,430,1775,1220,1698,31,69
"""25025000602""","""Boston-Cambridge-Newton, MA-NH""",3,3527,1722,148.15,27,32,36,16,20,22,11,12,14,2.93,39.7,1.04,1,1,8777,7176,8353,41,39,41,8434,7478,7522,5916,5235,5063,1253,1025,1192,1264,1219,1267,853,822,854,9.7,9.5,34.78,11.62,83296,6,137359,92,6,393,704,994,,994,9,91
"""25025000701""","""Boston-Cambridge-Newton, MA-NH""",5,3777,1878,56.94,31,38,42,22,27,30,11,12,14,3.44,124.21,1.01,1,1,9392,7701,8949,38,36,38,8294,7253,7397,5783,5028,4922,1341,1100,1277,1169,1125,1197,788,759,807,9.8,9.5,57.82,32.98,86196,1,147866,92,2,1012,450,1357,,1357,10,90
"""25025000703""","""Boston-Cambridge-Newton, MA-NH""",2,2146,1011,43.99,32,39,44,22,28,31,10,11,13,2.93,68.34,0.94,1,1,8053,6661,7597,39,38,40,7718,6760,6848,5358,4640,4523,1150,951,1084,1209,1169,1241,816,788,837,9.8,9.6,75.06,22.98,91208,1,180391,93,2,858,505,1388,,1388,2,98
"""25025000704""","""Boston-Cambridge-Newton, MA-NH""",4,4261,2130,59.25,34,41,46,24,29,33,11,12,13,3.29,123.56,0.96,1,1,8608,7032,8174,40,39,41,7978,6959,7114,5490,4751,4661,1229,1004,1167,1258,1205,1287,849,812,868,9.8,9.6,52.76,35.95,88770,0,164346,93,3,778,477,1482,617,1479,8,92
"""25025000802""","""Boston-Cambridge-Newton, MA-NH""",5,7120,2545,241.54,39,47,53,28,34,39,11,13,14,3.56,41.97,1.09,1,1,9245,7616,8820,34,33,35,8617,7583,7725,6234,5471,5391,1320,1088,1259,1063,1024,1075,717,691,725,9.5,9.6,22.34,10.54,89607,10,183209,93,4,474,592,1729,722,1680,17,83
"""25025000803""","""Boston-Cambridge-Newton, MA-NH""",2,6234,661,286.18,43,52,59,32,40,44,11,13,14,1.58,4.31,1.09,1,1,8094,6633,7652,36,35,37,8491,7592,7606,6204,5551,5366,1156,947,1092,1132,1093,1148,763,737,774,9.5,9.6,14.14,2.31,92538,2,206695,94,6,318,857,1994,,1994,2,98
"""25025010103""","""Boston-Cambridge-Newton, MA-NH""",3,3621,452,67.54,32,39,44,23,28,32,10,11,12,1.84,19.16,0.87,1,1,7340,5857,6896,39,37,40,7216,6391,6405,4955,4399,4184,1048,836,984,1213,1156,1236,818,779,834,9.8,9.9,34.12,6.69,104418,4,302449,94,2,598,507,1421,,1421,13,87
"""25025010104""","""Boston-Cambridge-Newton, MA-NH""",3,4784,1688,69.61,39,48,54,31,39,43,8,9,10,2.44,63.09,0.68,1,1,8419,6866,7984,38,35,39,6252,5408,5555,3881,3331,3197,1202,980,1140,1169,1097,1218,788,740,821,9.8,9.9,65.92,24.25,107743,0,359612,94,1,899,385,1946,2105,1645,29,71
