id,weight,lon,lat
1683,3,-71.1062053457204,42.391869939542566
1690,16,-71.0864812648756,42.32857617831306
1694,12,-70.8580954809657,42.59189990455126
1712,57,-70.8901264465123,42.516517789504185
1719,3,-71.0696128910641,42.34163114216017
1728,1,-71.0923692805418,42.328573501394466
1735,14,-71.0663289428672,42.34386562658228
1736,43,-71.0597457574145,42.300575146940275
1741,11,-71.1359545217777,42.35651344292966
1745,61,-71.1531240409956,42.342905386676264
1748,2,-71.0642393385571,42.32501984625259
1752,151,-71.0876524381405,42.307178995204275
1755,3,-71.1439500030829,42.35576102158947
1761,2,-71.0088366419407,42.38745093419166
1774,4,-71.0681348307861,42.45224996744777
1775,5,-71.1432579462371,42.34171442685488
1786,18,-71.0497558065445,42.33707990353559
1788,12,-70.6693762362423,42.62198204507367
1793,6,-71.0688416014114,42.382207590187164
1799,83,-71.20427221905142,42.47383211274006
1803,4,-71.1195847001255,42.39393580034476
1820,4,-70.9102811348959,42.21678050364507
1844,20,-71.145396440589,42.36137503380559
1847,51,-71.0651805075333,42.28369382294926
1850,24,-71.0508102865966,42.338583030581155
1856,25,-71.0801023095375,42.336135784408555
1857,4,-71.0568999999918,42.34169999970007
1858,1,-71.0421611178283,42.33702714720208
1863,60,-71.0636534893843,42.348865312043365
1898,21,-71.081787,42.33229399999987
1900,8,-71.1723133654715,42.35125791244307
1901,3,-71.139815,42.35351599999985
1902,38,-71.142967685891,42.35626850178847
1906,23,-71.0744466729038,42.383530689637375
1907,8,-71.0652066744792,42.28439023455786
1912,40,-71.1041638786565,42.366690174739965
1926,6,-71.1378125072324,42.36368278260947
1934,2,-71.0595606276109,42.31490865294786
1946,3,-71.0451647066053,42.286482087762664
1977,4,-71.1493724472157,42.35517248042576
1979,3,-71.0564304158243,42.34138006289077
1981,2,-71.0880396113157,42.34415406088235
1990,7,-71.3952857544891,42.082733770765856
1996,70,-71.1550247201959,42.26063664773379
1997,60,-71.0632149819643,42.35175318746157
1998,6,-71.0568353962456,42.342979416605694
2001,1,-71.2346785995357,42.27965248797416
2008,2,-71.0502467129541,42.338042311287566
